# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.074         	(0.000000e+00 3.573259e-01 0.000000e+00)	(0.000000e+00 3.573259e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.482723e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.075         	(0.000000e+00 3.618016e-01 0.000000e+00)	(0.000000e+00 3.618016e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.468705e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.076         	(0.000000e+00 3.662632e-01 0.000000e+00)	(0.000000e+00 3.662632e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.454510e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.077         	(0.000000e+00 3.707105e-01 0.000000e+00)	(0.000000e+00 3.707105e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.440139e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.078         	(0.000000e+00 3.751434e-01 0.000000e+00)	(0.000000e+00 3.751434e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.425592e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.079         	(0.000000e+00 3.795616e-01 0.000000e+00)	(0.000000e+00 3.795616e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.410869e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.08          	(0.000000e+00 3.839650e-01 0.000000e+00)	(0.000000e+00 3.839650e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.395972e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.081         	(0.000000e+00 3.883535e-01 0.000000e+00)	(0.000000e+00 3.883535e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.380900e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.082         	(0.000000e+00 3.927267e-01 0.000000e+00)	(0.000000e+00 3.927267e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.365655e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.083         	(0.000000e+00 3.970847e-01 0.000000e+00)	(0.000000e+00 3.970847e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.350237e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
